code,sgg,dong,x,y
48170125,경상남도 진주시,신안동,128.063,35.18
11110133,서울특별시 종로구,익선동,126.99,37.574
41281120,경기도 고양시 덕양구,토당동,126.816,37.623
41190113,경기도 부천시,괴안동,126.812,37.482
50130106,제주특별자치도 서귀포시,서홍동,126.535,33.3
41273109,경기도 안산시 단원구,선부동,126.804,37.342
11530107,서울특별시 구로구,개봉동,126.856,37.495
41465101,경기도 용인시 수지구,풍덕천동,127.095,37.323
46130133,전라남도 여수시,신기동,127.673,34.76
28170102,인천광역시 남구,용현동,126.649,37.451
44760250,충청남도 부여군,부여읍,126.937,36.284
41480108,경기도 파주시,야당동,126.759,37.715
28200102,인천광역시 남동구,간석동,126.705,37.467
41281112,경기도 고양시 덕양구,동산동,126.895,37.642
47850250,경상북도 칠곡군,왜관읍,128.411,35.965
47290106,경상북도 경산시,백천동,128.744,35.799
48127105,경상남도 창원시 마산회원구,양덕동,128.585,35.224
50110129,제주특별자치도 제주시,도남동,126.524,33.488
45790250,전라북도 고창군,고창읍,126.711,35.431
41271108,경기도 안산시 상록구,성포동,126.849,37.321
26710256,부산광역시 기장군,정관읍,129.172,35.34
41463101,경기도 용인시 기흥구,신갈동,127.099,37.281
47900250,경상북도 예천군,예천읍,128.448,36.66
50110105,제주특별자치도 제주시,삼도일동,126.52,33.504
41113134,경기도 수원시 권선구,금곡동,126.937,37.272
41630110,경기도 양주시,덕정동,127.067,37.845
30170106,대전광역시 서구,탄방동,127.39,36.344
27140102,대구광역시 동구,신천동,128.624,35.873
44250101,충청남도 계룡시,금암동,127.251,36.273
44200101,충청남도 아산시,온천동,127.001,36.787
11230109,서울특별시 동대문구,휘경동,127.063,37.588
43130115,충청북도 충주시,봉방동,127.908,36.977
26320103,부산광역시 북구,만덕동,129.038,35.212
31140101,울산광역시 남구,무거동,129.262,35.545
46110102,전라남도 목포시,산정동,126.393,34.797
47900360,경상북도 예천군,호명면,128.476,36.609
44800250,충청남도 홍성군,홍성읍,126.663,36.591
41250102,경기도 동두천시,지행동,127.065,37.889
45140122,전라북도 익산시,영등동,126.974,35.96
29140130,광주광역시 서구,금호동,126.854,35.132
44133104,충청남도 천안시 서북구,두정동,127.142,36.832
47170110,경상북도 안동시,용상동,128.763,36.554
47280110,경상북도 문경시,모전동,128.187,36.592
30200132,대전광역시 유성구,하기동,127.333,36.391
42110117,강원도 춘천시,근화동,127.715,37.885
29200128,광주광역시 광산구,월곡동,126.81,35.172
42730310,강원도 횡성군,우천면,128.08,37.469
11545102,서울특별시 금천구,독산동,126.901,37.466
